的	〔白勹丶󰁶・rqyy〕
牍	〔丿丨一大・thgd〕
嵇	〔禾乚山・tdnm〕
阂	〔门亠ㄥ人・uynw〕
镭	〔钅󰀙田󰀝・qflg〕
荥	〔艹冖水󰁧・apiu〕
咫	〔尸󰂃口八・nykw〕
纨	〔纟九丶󰁶・xvyy〕
掰	〔八刀手・rwvr〕
沱	〔氵宀匕󰁀・ipxn〕
榈	〔木门口口・sukk〕
槟	〔木宀󰅍八・sprw〕
抿	〔扌󰁃󰁐弋・rnan〕
锗	〔钅土丿日・qftj〕
侃	〔亻口󰀸󰁀・wkkn〕
呗	〔口贝󰁶・kmy〕
蜈	〔虫口一大・jkgd〕
疚	〔疒ク󰂃󰀦・uqyi〕
抠	〔扌匚乂󰁶・rary〕
芍	〔艹勹丶󰁧・aqyu〕
蜘	〔虫𠂉大口・jtdk〕
赝	〔厂亻亻贝・dwwm〕
祗	〔礻󰁶󰁚丶・pyqy〕
禧	〔礻󰁶士口・pyfk〕
皓	〔白丿土口・rtfk〕
醴	〔西一ㄇ䒑・sgmu〕
鞅	〔廿口十大・akfd〕
黛	〔亻󰀁丶灬・wayo〕
桀	〔夕󰀂丨木・qahs〕
钎	〔钅丿十󰀢・qtfh〕
涞	〔氵一米󰁶・igoy〕
娑	〔氵小丿女・iitv〕
膘	〔月覀二小・esfi〕
蛊	〔虫皿󰀘・jlf〕
摒	〔扌尸䒑廾・rnua〕
忸	〔忄󰁈丨二・nnhf〕
纣	〔纟寸󰁶・xfy〕
篾	〔⺮罒厂丶・tldy〕
馋	〔⺈󰁐⺈󰁦・qnqu〕
痊	〔疒人王󰀌・uwgd〕
嗟	〔口䒑󰀠工・kuga〕
涓	〔氵口月󰀝・ikeg〕
挹	〔扌口巴󰁀・rkcn〕
枭	〔勹丶ㄅ木・qyns〕
箅	〔⺮田一󰀯・tlgj〕
吝	〔文口󰀘・ykf〕
蝎	〔虫日勹󰄃・jjqn〕
郾	〔匚日女阝・ajvb〕
泠	〔氵人丶󰁻・iwyc〕
孥	〔女又子󰀘・vcbf〕
焱	〔火火火󰁧・ooou〕
铨	〔钅人王󰀝・qwgg〕
霰	〔󰀙󰁺月夂・faet〕
鼹	〔臼󰁐󰁦女・enuv〕
圃	〔囗一月丶・lgey〕
酞	〔西一大丶・sgdy〕
毡	〔丿二乚口・tfnk〕
莳	〔艹日寸󰁧・ajfu〕
璨	〔王󰀥夕米・ghqo〕
煨	〔火田一󰀖・olge〕
谗	〔讠⺈口󰁦・yqku〕
秸	〔禾士口󰀝・tfkg〕
媲	〔女丿囗匕・vtlx〕
爰	〔爫一又・egdc〕
貂	〔豸刀口󰀝・evkg〕
掬	〔扌勹米󰁶・rqoy〕
婵	〔女丷󰅐󰀢・vulh〕
轳	〔车󰀥尸ノ・lhnt〕
佗	〔亻宀匕󰁀・wpxn〕
唛	〔口主夂󰁶・kgty〕
瀛	〔氵亠󰄃丶・iyny〕
玮	〔王二𠃌丨・gfnh〕
桎	〔木一厶土・sgcf〕
敝	〔丷冂󰅏夂・umit〕
庾	〔广臼人󰀦・oewi〕
琛	〔王冖八木・gpws〕
璀	〔王山亻󰁷・gmwy〕
樵	〔木亻󰁷灬・swyo〕
剁	〔几木刂󰀢・wsjh〕
烬	〔火尸󰂃󰁦・onyu〕
噩	〔王口口口・gkkk〕
诿	〔讠禾女󰀝・ytvg〕
邝	〔广阝󰀢・obh〕
忖	〔忄寸󰁶・nfy〕
闩	〔门一󰀌・ugd〕
杵	〔木𠂉十󰀢・stfh〕
犟	〔弓口虫󰀟・xkjg〕
硌	〔石夂口󰀝・dtkg〕
瞑	〔目冖日八・hpjw〕
镨	〔钅䒑󰅊日・quoj〕
躏	〔口止艹󰁷・khay〕
渚	〔氵土丿日・iftj〕
礴	〔石艹氵寸・daif〕
嘤	〔口贝贝女・kmmv〕
沌	〔氵一凵乚・igbn〕
臊	〔月口口木・ekks〕
钇	〔钅乙󰁀・qnn〕
铿	〔钅〢又土・qjcf〕
豢	〔䒑大一󰀓・udge〕
攥	〔扌⺮目小・rthi〕
喟	〔口田月󰀝・kleg〕
珂	〔王丁口󰀝・gskg〕
铢	〔钅󰅎󰅇󰁶・qriy〕
蚯	〔虫󰅍一󰀝・jrgg〕
麸	〔主夕二人・gtfw〕
郸	〔丷󰅐阝󰀢・ulbh〕
绯	〔纟丨三三・xhdd〕
氪	〔󰅎⺄古儿・rndq〕
蚝	〔虫丿二乚・jtfn〕
芗	〔艹󰁲丿󰁣・axtr〕
蕙	〔艹一日心・agjn〕
赀	〔止匕贝󰁧・hxmu〕
讴	〔讠匚乂󰁶・yary〕
澧	〔氵ㄇ󰁺䒑・imau〕
沓	〔水日󰀘・ijf〕
眸	〔目厶丿󰀟・hctg〕
镖	〔钅覀二小・qsfi〕
癖	〔疒尸口十・unkf〕
傣	〔亻三人氺・wdwi〕
潦	〔氵大丷小・idui〕
茭	〔艹亠八乂・aywr〕
咂	〔口匚冂丨・kamh〕
赈	〔贝厂二󰀖・mdfe〕
孺	〔孑󰀙丆〢・bfdj〕
仞	〔亻刀丶󰁶・wvyy〕
诰	〔讠丿土口・ytfk〕
芷	〔艹止󰀘・ahf〕
蔺	〔艹门亻󰁷・auwy〕
绌	〔纟凵山󰀢・xbmh〕
祉	〔礻󰁶止󰀝・pyhg〕
沮	〔氵󰀐一󰀝・iegg〕
瓤	〔亠口口󰂃・ykky〕
徇	〔彳勹日󰀝・tqjg〕
绉	〔纟⺈彐󰀝・xqvg〕
蛀	〔虫丶王󰀝・jygg〕
喑	〔口立日󰀝・kujg〕
岱	〔亻󰀁丶山・waym〕
怃	〔忄二󰁜󰁀・nfqn〕
疟	〔疒匚一󰀌・uagd〕
圩	〔土一󰀛󰀢・fgfh〕
嗔	〔口十󰀣八・kfhw〕
愫	〔忄主ㄠ小・ngxi〕
浠	〔氵乂丨・irdh〕
昵	〔日尸匕󰁀・jnxn〕
膂	〔方𠂉󰀕月・ytee〕
扉	〔丶尸丨三・ynhd〕
繇	〔爫󰅎山小・ermi〕
蓖	〔艹丿囗匕・atlx〕
翌	〔羽立󰀘・nuf〕
芫	〔艹二儿󰀅・afqb〕
藜	〔艹禾勹氺・atqi〕
嗷	〔口主󰁡夂・kgqt〕
晁	〔日儿󰀪󰁧・jqiu〕
柞	〔木𠂉丨二・sthf〕
邸	〔󰁚󰀁丶阝・qayb〕
勰	〔力力力心・eeen〕
猞	〔犭ノ人口・qtwk〕
泸	〔氵󰀥尸ノ・ihnt〕
蹩	〔丷冂󰅇󰁾・umih〕
殚	〔一夕丷󰅐・gqul〕
漳	〔氵立日十・iujf〕
亳	〔亠口冖七・ykpa〕
溘	〔氵土厶皿・ifcl〕
裾	〔衤󰁧尸古・pund〕
衮	〔亠八厶󰀔・ywce〕
媾	〔女󰀀冂土・vamf〕
脲	〔月尸水󰁶・eniy〕
畋	〔田夂󰁶・lty〕
蹙	〔厂󰀥一󰁾・dhgh〕
搐	〔扌亠ㄠ田・ryxl〕
冼	〔冫丿土儿・utfq〕
煅	〔火亻三又・owdc〕
涡	〔氵口冂人・ikmw〕
湫	〔氵禾火󰁶・itoy〕
铯	〔钅⺈巴󰁀・qqcn〕
淖	〔氵󰀥日十・ihjf〕
掾	〔扌󰅂一󰀓・rxge〕
闾	〔门口口󰀌・ukkd〕
胄	〔由月󰀘・mef〕
蹶	〔口止厂人・khdw〕
羔	〔丷王灬󰁧・ugou〕
郏	〔一丷大阝・gudb〕
嵬	〔山白󰁜厶・mrqc〕
猝	〔犭ノ亠十・qtyf〕
榭	〔木丿󰀽寸・stmf〕
疸	〔疒日一󰀌・ujgd〕
瘢	〔疒丿󰁪又・utec〕
粜	〔凵山米󰁧・bmou〕
掸	〔扌丷󰅐󰀢・rulh〕
拎	〔扌人丶󰁻・rwyc〕
丐	〔一󰀥ㄅ󰁫・ghnv〕
唷	〔口亠厶月・kyce〕
怆	〔忄人⺋󰁀・nwbn〕
骧	〔󰀊󰀞亠󰀔・cgye〕
缫	〔纟巛日木・xvjs〕
槌	〔木亻󰁃辶・swnp〕
瞰	〔目乛耳夂・hnbt〕
胯	〔月大二ㄅ・edfn〕
瘴	〔疒立日十・uujf〕
狰	〔犭ノ⺈亅・qtqh〕
讵	〔讠匚󰁃󰀝・yang〕
茯	〔艹亻大丶・awdy〕
萼	〔艹口口ㄅ・akkn〕
韫	〔二𠃌丨皿・fnhl〕
枋	〔木方ノ・syt〕
铄	〔钅丿󰄃小・qtni〕
镬	〔钅艹亻又・qawc〕
霭	〔󰀙讠日󰄃・fyjn〕
鑫	〔金釒金󰀘・qqqf〕
涪	〔氵立口󰀝・iukg〕
缥	〔纟覀二小・xsfi〕
戢	〔口耳󰅅丶・kbxy〕
脍	〔月人二厶・ewfc〕
聿	〔󰁬󰀟󰀵・vgk〕
颔	〔人丶乛贝・wynm〕
蹬	〔口止癶䒑・khwu〕
谩	〔讠日罒又・yjlc〕
坨	〔土宀匕󰁀・fpxn〕
喋	〔口廿󰄃木・kans〕
嚆	〔口艹亠口・kayk〕
囔	〔口一口󰀔・kgke〕
岬	〔山甲󰀢・mlh〕
悝	〔忄日土󰀝・njfg〕
浍	〔氵人二厶・iwfc〕
眚	〔丿主目󰀘・tghf〕
矜	〔󰁻乛亅乛・cnhn〕
洱	〔氵耳󰀝・ibg〕
呸	〔口丆卜一・kdhg〕
蛆	〔虫󰀐一󰀝・jegg〕
鸳	〔夕⺋勹一・qbqg〕
郇	〔勹日阝󰀢・qjbh〕
拊	〔扌亻寸󰁶・rwfy〕
啾	〔口禾火󰁶・ktoy〕
噙	〔口人亠厶・kwyc〕
崆	〔山宀八工・mpwa〕
瑕	〔王󰁃丨又・gnhc〕
锵	〔钅丬夕寸・quqf〕
烩	〔火人二厶・owfc〕
揶	〔扌耳阝󰀢・rbbh〕
潢	〔氵󰁺由八・iamw〕
轼	〔车󰀁工丶・laay〕
铠	〔钅山己󰁀・qmnn〕
鬣	〔󰀍厶彡󰁒・dcen〕
掣	〔󰅎冂丨手・rmhr〕
嚎	〔口亠口󰀓・kyke〕
撅	〔扌厂䒑人・rduw〕
沤	〔氵匚乂󰁶・iary〕
滓	〔氵宀立十・ipuf〕
偎	〔亻田一󰀖・wlge〕
阖	〔门土厶皿・ufcl〕
缈	〔纟目小丿・xhit〕
篦	〔⺮丿囗匕・ttlx〕
缄	〔纟厂一丶・xdgy〕
臼	〔臼丿丨一・ethg〕
蔫	〔艹一止灬・agho〕
揄	〔扌人一刂・rwgj〕
悴	〔忄亠人十・nywf〕
榛	〔木三人禾・sdwt〕
轶	〔车󰅎人󰁶・lrwy〕
砥	〔石󰁚󰀁丶・dqay〕
邯	〔艹二阝󰀢・afbh〕
陲	〔阝丿十一・btfg〕
狒	〔犭ノ弓󰀯・qtxj〕
汨	〔氵日󰀝・ijg〕
辍	〔车又又又・lccc〕
抉	〔扌󰁄人󰁶・rnwy〕
瞳	〔目立日土・hujf〕
俳	〔亻丨三三・whdd〕
凫	〔勹丶ㄅ几・qynw〕
吡	〔口󰁴匕󰁀・kxxn〕
狎	〔犭ノ甲󰀢・qtlh〕
涮	〔氵尸冂刂・inmj〕
缜	〔纟十󰀣八・xfhw〕
恚	〔土土心󰁧・ffnu〕
碣	〔石日勹󰄃・djqn〕
稞	〔禾日木󰁶・tjsy〕
沏	〔氵七刀ノ・iavt〕
蚤	〔又丶虫󰁧・cyju〕
裱	〔衤󰁧主󰀔・puge〕
鹘	〔󰀾月勹一・meqg〕
疡	〔疒ㄋ󰁤󰀏・unre〕
辕	〔车土口󰀔・lfke〕
耷	〔大耳󰀘・dbf〕
湮	〔氵覀土󰀝・isfg〕
遒	〔丷西一辶・usgp〕
瓒	〔王丿土贝・gtfm〕
斐	〔丨三丨文・hdhy〕
砜	〔石几乂󰁶・dwry〕
鸾	〔亠󰁗勹一・yoqg〕
褛	〔衤󰁧米女・puov〕
荤	〔艹冖车󰀬・aplj〕
罔	〔冂䒑亠󰄃・muyn〕
偃	〔亻匚日女・wajv〕
诂	〔讠古󰀝・ydg〕
赓	〔广󰁬人贝・ovwm〕
惆	〔忄󰀼土口・nmfk〕
曷	〔日勹人󰄃・jqwn〕
煦	〔日勹口灬・jqko〕
跷	〔口止弋儿・khaq〕
癸	〔癶一大󰁧・wgdu〕
粳	〔米一日乂・ogjr〕
汐	〔氵夕󰁶・iqy〕
盂	〔一󰀛皿󰀘・gflf〕
剞	〔大丁口刂・dskj〕
倜	〔亻󰀼土口・wmfk〕
莞	〔艹宀二儿・apfq〕
泓	〔氵弓厶󰁶・ixcy〕
缑	〔纟亻󰁄大・xwnd〕
犄	〔牜大丁口・tdsk〕
陨	〔阝口贝󰁶・bkmy〕
阱	〔阝二󰀯󰀢・bfjh〕
悖	〔忄十冖子・nfpb〕
炜	〔火二𠃌丨・ofnh〕
焯	〔火󰀥日十・ohjf〕
畈	〔田⺁又󰁶・lrcy〕
螃	〔虫亠丷方・jyuy〕
簪	〔⺮󰀂󰁜日・taqj〕
匮	〔匚口丨贝・akhm〕
俅	〔亻一氺丶・wgiy〕
僬	〔亻亻󰁷灬・wwyo〕
扪	〔扌门󰁀・run〕
喔	〔口尸一土・kngf〕
饨	〔⺈󰁐一乚・qngn〕
滟	〔氵三丨巴・idhc〕
溏	〔氵广󰁬口・iovk〕
妩	〔女二󰁜󰁀・vfqn〕
珩	〔王彳一丁・gtgs〕
楫	〔木口耳󰀝・skbg〕
鹄	〔丿土口一・tfkg〕
褴	〔衤󰁧〢皿・pujl〕
耠	〔三󰅇人口・diwk〕
筲	〔⺮⺌月󰀘・tief〕
鲦	〔󰁢󰀞夂木・qgts〕
赁	〔亻丿士贝・wtfm〕
刈	〔乂刂󰀢・rjh〕
倏	〔亻丨夂丶・whty〕
谪	〔讠亠丷古・yyud〕
薅	〔艹女厂寸・avdf〕
饴	〔⺈󰁐厶口・qnck〕
馄	〔⺈󰁐日匕・qnjx〕
迳	〔ス工辶󰀌・capd〕
珑	〔王ヒ丶・gdxy〕
铡	〔钅贝刂󰀢・qmjh〕
俣	〔亻口一大・wkgd〕
岷	〔山󰁃󰁐弋・mnan〕
憔	〔忄亻󰁷灬・nwyo〕
窠	〔宀八日木・pwjs〕
綦	〔艹三八小・adwi〕
鳖	〔丷冂󰅏一・umig〕
囱	〔丿囗夕󰀦・tlqi〕
胰	〔月一弓人・egxw〕
圻	〔土斤󰀢・frh〕
垧	〔土丿冂口・ftmk〕
玷	〔王󰀥口󰀝・ghkg〕
簌	〔⺮一口人・tgkw〕
鲞	〔䒑大󰁢一・udqg〕
砒	〔石󰁴匕󰁀・dxxn〕
俚	〔亻日土󰀝・wjfg〕
圳	〔土川󰀢・fkh〕
骞	〔宀󰀀八一・pawg〕
祛	〔礻󰁶土厶・pyfc〕
矸	〔石干󰀢・dfh〕
鹞	〔爫󰅎山一・ermg〕
癫	〔疒十󰀣贝・ufhm〕
醪	〔西一羽彡・sgne〕
蹉	〔口止䒑工・khua〕
蹋	〔口止日羽・khjn〕
邺	〔󰅊一阝󰀢・ogbh〕
猗	〔犭ノ大口・qtdk〕
绶	〔纟爫冖又・xepc〕
玺	〔⺈小王丶・qigy〕
挈	〔三丨刀手・dhvr〕
铙	〔钅弋丿儿・qatq〕
酊	〔西一丁󰀢・sgsh〕
畦	〔田土土󰀝・lffg〕
冢	〔冖一󰀓丶・pgey〕
鄣	〔立日十阝・ujfb〕
忏	〔忄丿十󰀢・ntfh〕
屙	〔尸阝丁口・nbsk〕
婧	〔女主月󰀝・vgeg〕
嫦	〔女⺌冖丨・viph〕
顼	〔王丆贝󰁶・gdmy〕
猷	〔丷西一丶・usgy〕
痨	〔疒艹冖力・uape〕
痘	〔疒一口䒑・ugku〕
羚	〔䒑󰀠人󰁻・ugwc〕
孪	〔亠󰁗子󰀘・yobf〕
铱	〔钅亠󰀔󰁶・qyey〕
篆	〔⺮󰅂一󰀓・txge〕
啬	〔十䒑囗口・fulk〕
僦	〔亻亠口丶・wyky〕
诘	〔讠士口󰀝・yfkg〕
谀	〔讠臼人󰁶・yewy〕
谙	〔讠立日󰀝・yujg〕
芮	〔艹冂人󰁧・amwu〕
嗌	〔口䒑八皿・kuwl〕
噤	〔口木木小・kssi〕
囝	〔囗子󰀌・lbd〕
恹	〔忄厂大丶・nddy〕
寮	〔宀大丷小・pdui〕
槁	〔木亠口口・sykk〕
樽	〔木丷西寸・susf〕
戡	〔艹三八戈・adwa〕
毽	〔丿二乚廴・tfnp〕
鸲	〔勹口勹一・qkqg〕
鹦	〔贝贝女一・mmvg〕
痱	〔疒丨三三・uhdd〕
裨	〔衤󰁧白十・purf〕
耩	〔三󰅇󰀀土・diaf〕
趿	〔口止乃󰂃・khby〕
鲛	〔󰁢󰀞亠乂・qgyr〕
鼷	〔臼󰁐󰁦大・enud〕
赊	〔贝人二小・mwfi〕
壹	〔士冖一䒑・fpgu〕
丌	〔一󰀯󰀵・gjk〕
伢	〔亻󰀂亅丿・waht〕
谧	〔讠心丿皿・yntl〕
塥	〔土一口丨・fgkh〕
抻	〔扌日丨󰀢・rjhh〕
哝	〔口冖󰀔󰁶・kpey〕
浣	〔氵宀二儿・ipfq〕
宸	〔宀厂二󰀖・pdfe〕
弩	〔女又弓󰀅・vcxb〕
鬻	〔弓米弓丨・xoxh〕
橹	〔木󰁢一日・sqgj〕
赆	〔贝尸󰂃󰁦・mnyu〕
胛	〔月甲󰀢・elh〕
睨	〔目臼儿󰁀・heqn〕
跄	〔口止人⺋・khwb〕
隽	〔亻󰁷乃󰁣・wybr〕
侗	〔亻冂一口・wmgk〕
孵	〔󰁚丶丿子・qytb〕
潞	〔氵口止口・ikhk〕
侏	〔亻󰅎󰅇󰁶・wriy〕
呷	〔口甲󰀢・klh〕
泯	〔氵󰁃󰁐弋・inan〕
婺	〔󰁻乛亅女・cnhv〕
蜮	〔虫戈口󰀞・jakg〕
粲	〔󰀥夕又米・hqco〕
忻	〔忄斤󰀢・nrh〕
诎	〔讠凵山󰀢・ybmh〕
幔	〔冂丨日又・mhjc〕
钺	〔钅一󰁐丶・qgny〕
霈	〔󰀙氵一丨・figh〕
鲮	〔󰁢󰀞土夂・qgft〕
诤	〔讠⺈󰁬亅・yqvh〕
谔	〔讠口口ㄅ・ykkn〕
陟	〔阝止󰀤ノ・bhht〕
壅	〔亠󰁲丿土・yxtf〕
菽	〔艹󰀥一又・ahgc〕
摅	〔扌󰅋七心・rhan〕
幛	〔冂丨立十・mhuf〕
嶙	〔山米夕丨・moqh〕
犷	〔犭ノ广ノ・qtot〕
钸	〔钅冂丨・qdmh〕
趄	〔土󰁾󰀐一・fheg〕
踹	〔口止山〢・khmj〕
鞣	〔廿口十木・akfs〕
鼯	〔臼󰁐󰁦口・enuk〕
氽	〔人水󰁧・wiu〕
惬	〔忄匚一大・nagd〕
觑	〔󰅋七󰅊󰁜・haoq〕
钤	〔钅人丶乛・qwyn〕
醵	〔西一󰅋󰀓・sghe〕
稣	〔󰁢󰀞禾󰁶・qgty〕
畚	〔厶大田󰀘・cdlf〕
荠	〔艹文󰀯󰀬・ayjj〕
莅	〔艹亻立󰀘・awuf〕
啻	〔亠丷冖口・yupk〕
怵	〔忄木丶󰁶・nsyy〕
恽	〔忄冖车󰀢・nplh〕
阕	〔门癶一大・uwgd〕
濯	〔氵羽亻󰁷・inwy〕
迩	〔⺈小辶󰀦・qipi〕
姹	〔女宀丿七・vpta〕
琬	〔王宀夕⺋・gpqb〕
橛	〔木厂䒑人・sduw〕
轱	〔车古󰀝・ldg〕
甑	〔丷󰀺日丶・uljy〕
暄	〔日宀一一・jpgg〕
腚	〔月宀一󰁾・epgh〕
旌	〔方𠂉丿主・yttg〕
钚	〔钅丆卜󰁶・qdhy〕
蝠	〔虫一口田・jgkl〕
蝮	〔虫𠂉日夂・jtjt〕
箴	〔⺮厂一丶・tdgy〕
羰	〔䒑󰀠山火・ugmo〕
豇	〔一口䒑工・gkua〕
踮	〔口止广口・khok〕
鼋	〔二儿口乚・fqkn〕
鲷	〔󰁢󰀞󰀼口・qgmk〕
毖	〔󰁴匕心丿・xxnt〕
臀	〔尸󰁺八月・nawe〕
俪	〔亻一冂丶・wgmy〕
郅	〔一厶土阝・gcfb〕
圄	〔囗五口󰀌・lgkd〕
溽	〔氵厂二寸・idff〕
姒	〔女󰁐丶人・vnyw〕
瑭	〔王广󰁬口・govk〕
璜	〔王󰁺由八・gamw〕
舫	〔丿󰁪方ノ・teyt〕
偻	〔亻米女󰀝・wovg〕
苋	〔艹ㄇ󰁜󰀅・amqb〕
琰	〔王火火󰁶・gooy〕
楹	〔木乃又皿・sbcl〕
豉	〔一口䒑又・gkuc〕
黟	〔󰀹土灬夕・lfoq〕
玖	〔王ク󰂃󰁶・gqyy〕
舷	〔丿󰁪亠ㄠ・teyx〕
汆	〔丿󰂃水󰁧・tyiu〕
郫	〔白丿十阝・rtfb〕
彷	〔彳方ノ・tyt〕
洮	〔氵儿󰀪󰁶・iqiy〕
杳	〔木日󰀘・sjf〕
腴	〔月臼人󰁶・eewy〕
睽	〔目癶一大・hwgd〕
蝤	〔虫丷西一・jusg〕
舱	〔丿󰁪人⺋・tewb〕
鞘	〔廿口十月・akfe〕
诌	〔讠⺈彐󰀝・yqvg〕
隍	〔阝白王󰀝・brgg〕
邛	〔工阝󰀢・abh〕
叱	〔口ヒ󰁀・kxn〕
嗖	〔口臼丨又・kehc〕
恪	〔忄夂口󰀝・ntkg〕
绺	〔纟夂卜口・xthk〕
梵	〔木木几丶・sswy〕
昊	〔日一大󰁧・jgdu〕
钋	〔钅卜󰁶・qhy〕
镂	〔钅米女󰀝・qovg〕
穹	〔宀八弓󰀅・pwxb〕
皴	〔厶八夂又・cwtc〕
霾	〔󰀙豸日土・fejf〕
鲇	〔󰁢󰀞󰀥口・qghk〕
淬	〔氵亠人十・iywf〕
夙	〔几一夕󰀦・wgqi〕
萘	〔艹大二小・adfi〕
噘	〔口厂䒑人・kduw〕
阚	〔门乛耳夂・unbt〕
弭	〔弓耳󰀝・xbg〕
舂	〔三人臼󰀘・dwef〕
醺	〔西一丿灬・sgto〕
翱	〔白大十羽・rdfn〕
贰	〔弋二贝丶・afmy〕
龋	〔止人凵丶・hwby〕
胤	〔丿ㄠ月乚・txen〕
鼐	〔乃目󰁕󰁈・bhnn〕
仄	〔厂人󰀦・dwi〕
叵	〔匚口󰀌・akd〕
佝	〔亻勹口󰀝・wqkg〕
俎	〔人人󰀐一・wweg〕
诩	〔讠羽󰀝・yng〕
谑	〔讠󰅋七一・yhag〕
堇	〔廿口主󰀘・akgf〕
葺	〔艹口耳󰀘・akbf〕
蕈	〔艹覀日十・asjf〕
撺	〔扌宀八丨・rpwh〕
忒	〔弋心丶󰀦・anyi〕
喹	〔口大土土・kdff〕
恻	〔忄贝刂󰀢・nmjh〕
浃	〔氵一丷大・igud〕
宕	〔宀石󰀘・pdf〕
逖	〔犭ノ火辶・qtop〕
嫔	〔女宀󰅍八・vprw〕
棣	〔木󰁬氺󰁶・sviy〕
槠	〔木讠土日・syfj〕
脒	〔月米󰁶・eoy〕
腼	〔月丆冂三・edmd〕
飕	〔几乂臼又・wrec〕
睑	〔目人一一・hwgg〕
睿	〔󰀥冖一目・hpgh〕
锔	〔钅尸𠃌口・qnnk〕
锪	〔钅勹󰁤心・qqrn〕
鹪	〔亻󰁷灬一・wyog〕
耧	〔三󰅇米女・diov〕
蜓	〔虫丿士廴・jtfp〕
竽	〔⺮一󰀛󰀬・tgfj〕
簟	〔⺮覀日十・tsjf〕
跚	〔口止󰀼一・khmg〕
跻	〔口止文󰀯・khyj〕
鲅	〔󰁢󰀞丶・qgdy〕
鳊	〔󰁢󰀞丶艹・qgya〕
鳝	〔󰁢󰀞䒑口・qguk〕
髀	〔󰀾月白十・merf〕
髋	〔󰀾月宀󰁜・mepq〕
髻	〔󰀍厶彡口・dcek〕
鬈	〔󰀍厶彡⺋・dceb〕
亓	〔二󰀯󰀬・fjj〕
匐	〔勹一口田・qgkl〕
哿	〔力口丁口・eksk〕
苕	〔艹刀口󰀘・avkf〕
蓼	〔艹羽人彡・anwe〕
夤	〔夕宀一八・qpgw〕
砑	〔石󰀂亅丿・daht〕
鸬	〔󰀥尸勹一・hnqg〕
箸	〔⺮土丿日・tftj〕
椽	〔木󰅂一󰀓・sxge〕
垌	〔土冂一口・fmgk〕
卟	〔口卜󰁶・khy〕
徕	〔彳一米󰁶・tgoy〕
暧	〔日爫冖又・jepc〕
歙	〔人一口人・wgkw〕
煸	〔火丶尸艹・oyna〕
矶	〔石几󰁀・dwn〕
砹	〔石艹乂󰁶・dary〕
皈	〔白⺁又󰁶・rrcy〕
鸢	〔󰀁丶勹一・ayqg〕
蟾	〔虫⺈厂言・jqdy〕
鸯	〔ㄇ大勹一・mdqg〕
搡	〔扌又又木・rccs〕
呶	〔口女又󰁶・kvcy〕
怏	〔忄ㄇ大󰁶・nmdy〕
洎	〔氵丿目󰀝・ithg〕
娌	〔女日土󰀝・vjfg〕
牒	〔丿丨一木・thgs〕
煜	〔火日立󰀝・ojug〕
恙	〔丷王心󰁧・ugnu〕
龛	〔人一口丶・wgky〕
敖	〔主󰁡夂󰁶・gqty〕
剜	〔宀夕⺋刂・pqbj〕
垩	〔一󰅊一土・gogf〕
喏	〔口艹口・kadk〕
婕	〔女一󰁬󰁾・vgvh〕
飒	〔立几乂󰁶・uwry〕
蜥	〔虫木斤󰀢・jsrh〕
兖	〔亠八厶儿・ywcq〕
埚	〔土口冂人・fkmw〕
塬	〔土厂白小・fdri〕
苒	〔艹冂土󰀘・amff〕
蕲	〔艹丷󰅐斤・aulr〕
幞	〔冂丨󰅊人・mhow〕
怛	〔忄日一󰀝・njgg〕
孑	〔孑乛亅󰀞・bnhg〕
缂	〔纟廿口十・xakf〕
缏	〔纟亻一乂・xwgr〕
甓	〔尸口立丶・nkuy〕
钫	〔钅方ノ・qyt〕
锆	〔钅丿土口・qtfk〕
銮	〔亠󰁗金󰀘・yoqf〕
颧	〔艹口口贝・akkm〕
嚏	〔口十冖󰁾・kfph〕
仃	〔亻丁󰀢・wsh〕
仨	〔亻三󰀝・wdg〕
薰	〔艹丿一灬・atgo〕
擢	〔扌羽亻󰁷・rnwy〕
啜	〔口又又又・kccc〕
馀	〔⺈󰁐人木・qnws〕
闱	〔门二𠃌丨・ufnh〕
汴	〔氵亠卜󰁶・iyhy〕
妍	〔女一廾󰀢・vgah〕
纾	〔纟󰁻乛亅・xcnh〕
桠	〔木一󰅊一・sgog〕
欤	〔一ㄅ󰀞人・gngw〕
飓	〔几乂󰀣八・wrhw〕
戾	〔丶尸大丶・yndy〕
砣	〔石宀匕󰁀・dpxn〕
磬	〔士󰁅几石・fnwd〕
铗	〔钅一丷大・qgud〕
鹭	〔口止夂一・khtg〕
袼	〔衤󰁧夂口・putk〕
褓	〔衤󰁧亻木・puws〕
蟀	〔虫亠ㄠ十・jyxf〕
蟠	〔虫丿米田・jtol〕
笸	〔⺮匚口󰀘・takf〕
筱	〔⺮亻丨夂・twht〕
麒	〔广󰁃〢八・onjw〕
摈	〔扌宀󰅍八・rprw〕
蛔	〔虫囗口󰀝・jlkg〕
莆	〔艹一月丶・agey〕
氐	〔󰁚󰀁丶󰀦・qayi〕
僭	〔亻󰀂󰁜日・waqj〕
籴	〔丿󰂃米󰁧・tyou〕
袤	〔亠󰁻乛󰀔・ycne〕
荟	〔艹人二厶・awfc〕
噍	〔口亻󰁷灬・kwyo〕
崃	〔山一米󰁶・mgoy〕
廛	〔广日土土・ojff〕
阊	〔门日日󰀌・ujjd〕
浔	〔氵彐寸󰁶・ivfy〕
遴	〔米夕󰀂辶・oqap〕
骊	〔󰀊󰀞一丶・cggy〕
戛	〔丆目戈󰁧・dhau〕
